IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
593;Tori;Borish;USA;422;2027;2;1013.5
2941;Nicoline;Friberg Klysner;DEN;423;2021;2;1010.5
26462;Martina;Paone;ITA;424;2011;4;502.8
18765;Moa;Enmark;SWE;425;2009;3;669.7
22569;Frida;Joensson Hellstadius;SWE;426;2001;2;1000.5
20064;Marina;Garcia Castro;ESP;427;1989;3;663.0
22603;Hannah;Thiels;BEL;427;1989;3;663.0
5795;Ildiko;Szerencsi;HUN;429;1988;2;994.0
23;Marion;Aebi;SUI;430;1987;2;993.5
6294;Aleksandra;Voitova;RUS;430;1987;2;993.5
3745;Matilda;Martinsson;SWE;432;1984;3;661.3
31027;Caitlin;Young;AUS;432;1984;4;496.0
674;Helen;Bridle;GBR;434;1980;3;660.0
5711;Karoliina;Sundberg;FIN;435;1979;2;989.5
22517;Sarah;Jones;GBR;435;1979;2;989.5
5343;Emma;Sherwood;CAN;437;1974;3;658.0
28072;Sandrine;Defraigne;BEL;437;1974;3;658.0
28253;Vilma;von Krusenstierna;SWE;439;1971;2;985.5
25839;Tegan;Knightbridge;NZL;440;1970;4;492.5
5617;Kine;Hallan Steiwer;NOR;441;1967;3;655.7
20126;Noora;Koskinen;FIN;441;1967;2;983.5
1477;Isabelle;Feer;SUI;443;1956;3;652.0
24829;Lotta;Kirvesmies;FIN;444;1953;3;651.0
1419;Sara;Eskilsson;SWE;445;1948;2;974.0
20053;Alessandra;Arrigoni;ITA;446;1944;3;648.0
6540;Tsz Ying;Yu;HKG;447;1935;4;483.8
24823;Roosa;Hamalainen;FIN;448;1933;2;966.5
34063;Boglarka;Czako;HUN;449;1930;2;965.0
5125;Frida;Sandberg;SWE;450;1926;2;963.0
20314;Dilek;Matyar;TUR;451;1921;3;640.3
5493;Olga;Balabanova;UKR;452;1917;2;958.5
24440;Ekaterina;Ryazanova;RUS;453;1912;2;956.0
2778;Katja;Gygax;SUI;454;1909;2;954.5
6236;Laura;Vike;LAT;455;1907;3;635.7
25980;Csilla;Gardonyi;HUN;456;1894;2;947.0
4291;Marie;Olaussen;NOR;457;1888;4;472.0
253;Anna;Bachman;SWE;458;1883;2;941.5
24222;Enni;Jalava;FIN;459;1882;2;941.0
4336;Louise;Oram;CAN;460;1878;2;939.0
463;Camilla;Bevensee;DEN;461;1873;2;936.5
24198;Jasmiina;Rantala;FIN;462;1871;3;623.7
5774;Gunilla;Svard;SWE;463;1863;2;931.5
26349;Marita;Hotz;SUI;464;1861;2;930.5
18914;Delphine;Poirot;FRA;465;1859;2;929.5
28653;Katarzyna;Slusarczyk;POL;466;1858;4;464.5
36612;Siri;Nyfeler;SUI;466;1858;2;929.0
113;Marianne;Andersen;NOR;468;1856;2;928.0
24271;Amy;Nymalm;FIN;469;1850;2;925.0
25882;Leticia;Saltori;BRA;470;1849;3;616.3
33266;Megan;Keith;GBR;471;1846;3;615.3
5270;Masha;Semak;UKR;472;1845;2;922.5
27929;Yasna;Petrova;BUL;473;1838;2;919.0
1216;Celine;Dodin;FRA;474;1837;2;918.5
24328;Lise;Termansen;DEN;474;1837;2;918.5
32911;Moa;Gustafsson;SWE;476;1836;2;918.0
34079;Agnieszka;Cych;POL;477;1835;3;611.7
27002;Anna;Dahlgren Rosen;SWE;478;1831;2;915.5
18916;Elli;Peltomaki;FIN;479;1830;3;610.0
24076;Emer;Perkins;IRL;480;1825;3;608.3
345;Olivia;Baxter;IRL;481;1824;3;608.0
27692;Louise;Lundgren;SWE;482;1820;2;910.0
4232;Sari;Nurmela;FIN;483;1819;4;454.8
