IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
18758;Frida;Forsberg;SWE;1277;497;1;497.0
34250;Hannah;Haensel;GER;1278;496;1;496.0
2075;Suvi;Harju;FIN;1279;495;1;495.0
28383;Mari Brondbo;Dahl;NOR;1280;493;1;493.0
3911;Katerina;Miksova;CZE;1281;492;1;492.0
5466;Henriette;Nygaard;DEN;1282;491;2;245.5
23271;Nicole;Whitmore;CAN;1283;490;2;245.0
4276;Julia;Ohlsson;SWE;1284;489;1;489.0
5229;Celia;Schofield;NZL;1284;489;2;244.5
19068;Caoimhe;O Boyle;IRL;1284;489;1;489.0
25949;Jenny;Ray;FIN;1284;489;1;489.0
34523;Tereza;Bialozytova;CZE;1288;488;1;488.0
32021;Zoe;Melhuish;AUS;1289;486;1;486.0
25282;Ellen Merethe Schjelderup;Skarpsno;NOR;1290;485;1;485.0
26580;Yan;Xiong;CHN;1290;485;1;485.0
6509;Natsuki;Yamagishi;JPN;1292;484;3;161.3
2069;Rebecca;Harding;GBR;1293;481;1;481.0
20021;Mali;Gederaas Kanstad;NOR;1293;481;1;481.0
25242;Lyudmila;Pukalova;RUS;1293;481;2;240.5
33482;Aleksandra;Artemova;RUS;1293;481;1;481.0
4663;Sarah;Pope;RSA;1297;480;1;480.0
19122;Anastasiya;Atamanovich;BLR;1298;479;2;239.5
20657;Margaux;Hummel Azais;FRA;1299;476;1;476.0
288;Barbora;Baldrianova;CZE;1300;474;1;474.0
20216;Simona;Chladkova;CZE;1300;474;1;474.0
27865;Pascaline;Colas;FRA;1300;474;2;237.0
158;Saara;Antell;FIN;1303;471;1;471.0
24608;Anastasiya;Ilkevich;BLR;1304;468;2;234.0
34081;Adrianna;Biederman;POL;1305;467;2;233.5
21265;Ines;Domingues;POR;1306;466;4;116.5
33958;Oldriska;Kabrtova;CZE;1307;465;1;465.0
2147;Elin-Kristin;Hem;NOR;1308;464;1;464.0
25014;Inmaculada;Crespo;ESP;1308;464;1;464.0
374;Alice;Dal Bello;ITA;1310;463;3;154.3
28460;Hannah;Kalcher;AUT;1310;463;2;231.5
4545;Galina;Petrenko;UKR;1312;461;2;230.5
21474;Kaisa;Sander;EST;1312;461;1;461.0
118;Maiya;Anderson;USA;1314;460;1;460.0
20258;Kate;Knapp;CAN;1315;458;1;458.0
2202;Carolyn;Hindle;GBR;1316;457;2;228.5
18857;Sonia;Flueckiger;SUI;1317;456;1;456.0
2156;Elisabeth;Henkes;BEL;1318;454;1;454.0
25908;Ana;Marusceac;MDA;1319;452;2;226.0
28781;Heidi;Smeds;FIN;1320;450;1;450.0
3612;Astrid;Maag;DEN;1321;447;1;447.0
34407;Johanna;Brink;FIN;1321;447;1;447.0
26576;Jianfei;Wu;CHN;1323;439;1;439.0
